ticker,name,type,sector,article_date,article_headline,label
BLRX,BioLineRx Ltd.,EQUITY,Healthcare,2012-01-03,BioLineRx Announces Initiation of CE Mark Registration Trial for BCM,mildly bullish
ENTG,"Entegris, Inc.",EQUITY,Technology,2012-01-03,Weekly Homework: Wipe The 2011 Slate Clean (With Economic Calendar and Stock Radar),neutral
ACTG,Acacia Research Corporation,EQUITY,Industrials,2012-01-04,A Peek Into The Market Before The Trading Starts,neutral
ACTG,Acacia Research Corporation,EQUITY,Industrials,2012-01-04,A Peek Into The Market Before The Trading Starts,neutral
ACTG,Acacia Research Corporation,EQUITY,Industrials,2012-01-04,A Peek Into The Market Before The Trading Starts,neutral
ARTW,"Art's-Way Manufacturing Co., Inc.",EQUITY,Industrials,2012-01-04,Art's Way Manufacturing Announces $7 Million Contract for a Modular Building Complex ,mildly bullish
CME,CME Group Inc.,EQUITY,Financial Services,2012-01-04,Market Roundup,neutral
ACTG,Acacia Research Corporation,EQUITY,Industrials,2012-01-04,A Peek Into The Market Before The Trading Starts,neutral
ACTG,Acacia Research Corporation,EQUITY,Industrials,2012-01-04,A Peek Into The Market Before The Trading Starts,neutral
ACTG,Acacia Research Corporation,EQUITY,Industrials,2012-01-04,A Peek Into The Market Before The Trading Starts,neutral
ACTG,Acacia Research Corporation,EQUITY,Industrials,2012-01-04,A Peek Into The Market Before The Trading Starts,neutral
ACTG,Acacia Research Corporation,EQUITY,Industrials,2012-01-04,A Peek Into The Market Before The Trading Starts,neutral
EWBC,"East West Bancorp, Inc.",EQUITY,Financial Services,2012-01-05,Sterne Agee Raises PT on East West Bancorp to $23,mildly bullish
BMRN,BioMarin Pharmaceutical Inc.,EQUITY,Healthcare,2012-01-05,JPMorgan Confab Kicks Off Biotech 2012,neutral
CORT,Corcept Therapeutics Incorporated,EQUITY,Healthcare,2012-01-05,Notable Put Options Activity in Corcept Therapeutics,mildly bearish
EMMS,Emmis Corporation,EQUITY,Communication Services,2012-01-05,Emmis Announces Final Results of Its Tender Offer,neutral
BDSI,"BioDelivery Sciences International, Inc.",EQUITY,,2012-01-06,BioDelivery Sciences Popping 160% On License and Development Agreement,strongly bullish
AVNW,"Aviat Networks, Inc.",EQUITY,Technology,2012-01-09,Aviat Networks Reaffirms Q2 Revenue Guidance of $100-110M vs $106.26M Est  ,mildly bullish
BIDU,"Baidu, Inc.",EQUITY,Communication Services,2012-01-09,Baidu Spiking Lower,strongly bearish
AVGO,Broadcom Inc.,EQUITY,Technology,2012-01-09,Avago Technologies up Over 5% on Analyst Upgrades ,mildly bullish
BIDU,"Baidu, Inc.",EQUITY,Communication Services,2012-01-09,Baidu Spiking Lower,strongly bearish
ACTG,Acacia Research Corporation,EQUITY,Industrials,2012-01-09,Acacia Subsidiary Enters into Settlement and License Agreement with BMW   ,mildly bullish
BIIB,Biogen Inc.,EQUITY,Healthcare,2012-01-09,Just What The Doctor Ordered: 4 ETFs For Biotech M&A,mildly bullish
ADSK,"Autodesk, Inc.",EQUITY,Technology,2012-01-10,Autodesk and Pitney Bowes Software Enter Strategic Alliance Agreement   ,mildly bullish
CMTL,Comtech Telecommunications Corp.,EQUITY,Technology,2012-01-10,Comtech Telecommunications Corp. Awarded $3.2 Million Contract for SATCOM Equipment to Support Mobile Backhaul Network Expansion ,mildly bullish
ALGT,Allegiant Travel Company,EQUITY,Industrials,2012-01-10,From Earlier: Allegiant December Revenue Passenger Miles up 10% YoY,mildly bullish
CRUS,"Cirrus Logic, Inc.",EQUITY,Technology,2012-01-10,Benzinga's Top Pre-Market Gainers,mildly bullish
BIIB,Biogen Inc.,EQUITY,Healthcare,2012-01-11,"Biogen Idec Block Trade of 398,913 Shares at $116.1, 34.3% of total volume ",mildly bearish
DXCM,"DexCom, Inc.",EQUITY,Healthcare,2012-01-11,Piper Jaffray Reiterates Overweight Rating on DexCom,mildly bullish
ENSG,"The Ensign Group, Inc.",EQUITY,Healthcare,2012-01-11,"DA Davidson & Co Maintains Buy, $33 PT on The Ensign Group ",mildly bullish
FCEL,"FuelCell Energy, Inc.",EQUITY,Industrials,2012-01-11,FuelCell Energy Delivers One Billion Kilowatt Hours of Ultra-Clean Power Generation ,mildly bullish
CHKP,Check Point Software Technologies Ltd.,EQUITY,Technology,2012-01-12,FBN Securities Initiates Check Point Software at Outperform,mildly bullish
AZPN,"Aspen Technology, Inc.",EQUITY,Technology,2012-01-12,Aspen Technology Announces Entry of Judgment in Litigation with Former Employee   ,neutral
CTSH,Cognizant Technology Solutions Corporation,EQUITY,Technology,2012-01-12,Benzinga's Top Pre-Market Losers,mildly bearish
CACH,"Cache, Inc.",EQUITY,Consumer Cyclical,2012-01-13,"Sterne Agee Maintains Neutral, $7 PT on Cache ",neutral
EA,Electronic Arts Inc.,EQUITY,Communication Services,2012-01-13,"Deutsche Bank Maintains Sell, $14 Target on Electronic Arts",strongly bearish
BANF,BancFirst Corporation,EQUITY,Financial Services,2012-01-15,Earnings Expectations for the Week of January 16,neutral
CHKP,Check Point Software Technologies Ltd.,EQUITY,Technology,2012-01-17,Check Point Software Sees Q1 Revenue of $305-315M vs $313.6M Est; Non GAAP EPS $0.69-0.73 vs $0.72 Est ,mildly bearish
FCFS,"FirstCash Holdings, Inc.",EQUITY,Financial Services,2012-01-17,First Cash Acquires 29-Store Chain of Pawn Stores; Reports EPS $0.70 vs $0.69 Est; 2012 Guidance $2.65-2.70 vs $2.69,mildly bullish
CHKP,Check Point Software Technologies Ltd.,EQUITY,Technology,2012-01-17,Earnings Roundup,neutral
ADTN,"ADTRAN Holdings, Inc.",EQUITY,Technology,2012-01-18,Adtran Spiking Higher,mildly bullish
EBAY,eBay Inc.,EQUITY,Consumer Cyclical,2012-01-18,"US Stock Futures Up; Earnings Reports, Economic Data In Focus",mildly bullish
ASML,ASML Holding N.V.,EQUITY,Technology,2012-01-18,Earnings Roundup,neutral
ADTN,"ADTRAN Holdings, Inc.",EQUITY,Technology,2012-01-18,Earnings Roundup,neutral
CROX,"Crocs, Inc.",EQUITY,Consumer Cyclical,2012-01-18,Positive Rumors Circulate About Crocs,mildly bullish
CECO,CECO Environmental Corp.,EQUITY,Industrials,2012-01-18,Piper Jaffray on Education Stocks: We Do Not Believe Changes to 90/10 Rule to be Imminent,neutral
ACGL,Arch Capital Group Ltd.,EQUITY,Financial Services,2012-01-19,Top 4 Mid-Cap Stocks In The Property & Casualty Insurance Industry With The Highest Profit Margin,mildly bullish
CINF,Cincinnati Financial Corporation,EQUITY,Financial Services,2012-01-19,Cincinnati Financial Corporation Announces Reduced Estimate of $20-24M for Prior-Quarter Storm Losses,mildly bearish
EA,Electronic Arts Inc.,EQUITY,Communication Services,2012-01-19,UPDATE: Brean Murray Carret Lowers Price Target on Electronic Arts to $22,mildly bearish
ARCC,Ares Capital Corporation,EQUITY,Financial Services,2012-01-19,Ares Capital Corporation Extends Maturity and Reduces Pricing on Revolving Funding Facility   ,mildly bullish
ALKS,Alkermes plc,EQUITY,Healthcare,2012-01-20,Best Specialty Pharma Stocks Picked by UBS,neutral
CCOI,"Cogent Communications Holdings, Inc.",EQUITY,Communication Services,2012-01-20,"Hearing Megaupload was one of Cognet's Largest Customers, Shares Seeing Weakness",mildly bearish
BIIB,Biogen Inc.,EQUITY,Healthcare,2012-01-20,Deutsche Bank Maintains Buy on Biogen Idec After European Medical Agency Announcement,mildly bullish
BIIB,Biogen Inc.,EQUITY,Healthcare,2012-01-20,"Elan, Biogen Win FDA Approval to Market Test for Tysabri Risks",mildly bullish
EZPW,"EZCORP, Inc.",EQUITY,Financial Services,2012-01-20,"Sterne Agee Maintains Neutral, $29 PT on EZCORP",neutral
ERIC,Telefonaktiebolaget LM Ericsson (publ),EQUITY,Technology,2012-01-20,Ericsson and ZTE Resolve Patent License Issues  ,mildly bullish
ADP,"Automatic Data Processing, Inc.",EQUITY,Industrials,2012-01-22,Earnings Expectations for the Week of January 23,neutral
BIDU,"Baidu, Inc.",EQUITY,Communication Services,2012-01-23,Baidu SP Trading 2.9% Higher on Heavy Volume; Currently at $126.31,mildly bullish
ACUR,"Acura Pharmaceuticals, Inc.",EQUITY,Healthcare,2012-01-23,Acura Pharmaceuticals Halted for Pending News,neutral
CCUR,"CCUR Holdings, Inc.",EQUITY,Technology,2012-01-23,Top Performing Industries For January 23,neutral
CROX,"Crocs, Inc.",EQUITY,Consumer Cyclical,2012-01-23,Piper Jaffray Releases Highlights from Outdoor Retailers,neutral
ACIW,"ACI Worldwide, Inc.",EQUITY,Technology,2012-01-24,ACI Worldwide Extends Timing Agreement With the DOJ for an Additional Ten Days; Extends Expiration Date for S1 Exchange Offer ,neutral
BLRX,BioLineRx Ltd.,EQUITY,Healthcare,2012-01-24,BioLineRx Surges after Hep C License Agreement,mildly bullish
BLRX,BioLineRx Ltd.,EQUITY,Healthcare,2012-01-24,BioLineRx Rises 16% on Licensing Agreement,mildly bullish
CATY,Cathay General Bancorp,EQUITY,Financial Services,2012-01-24,"DA Davidson & Co Raises PT to $19, Reiterates Buy on Cathay General Bancorp",mildly bullish
CCIH,ChinaCache International Holdings Ltd.,MUTUALFUND,,2012-01-24,Valuations now look extremely attractive,mildly bullish
AVGO,Broadcom Inc.,EQUITY,Technology,2012-01-24,Notable Call Options Activity in Avago Technologies,mildly bullish
ERIC,Telefonaktiebolaget LM Ericsson (publ),EQUITY,Technology,2012-01-25,Earnings Roundup,neutral
