,Date,value
0,2012-01-03 00:00:00+00:00,10
1,2012-01-04 00:00:00+00:00,9
2,2012-01-05 00:00:00+00:00,22
3,2012-01-06 00:00:00+00:00,6
4,2012-01-09 00:00:00+00:00,1
5,2012-01-10 00:00:00+00:00,26
6,2012-01-11 00:00:00+00:00,41
7,2012-01-12 00:00:00+00:00,14
8,2012-01-13 00:00:00+00:00,13
9,2012-01-17 00:00:00+00:00,17
10,2012-01-18 00:00:00+00:00,13
11,2012-01-19 00:00:00+00:00,23
12,2012-01-20 00:00:00+00:00,15
13,2012-01-23 00:00:00+00:00,19
14,2012-01-24 00:00:00+00:00,11
15,2012-01-25 00:00:00+00:00,4
16,2012-01-26 00:00:00+00:00,38
17,2012-01-27 00:00:00+00:00,14
18,2012-01-30 00:00:00+00:00,27
19,2012-01-31 00:00:00+00:00,36
20,2012-02-01 00:00:00+00:00,7
21,2012-02-02 00:00:00+00:00,36
22,2012-02-03 00:00:00+00:00,22
23,2012-02-06 00:00:00+00:00,25
24,2012-02-07 00:00:00+00:00,16
25,2012-02-08 00:00:00+00:00,26
26,2012-02-09 00:00:00+00:00,24
27,2012-02-10 00:00:00+00:00,-1
28,2012-02-13 00:00:00+00:00,28
29,2012-02-14 00:00:00+00:00,6
30,2012-02-15 00:00:00+00:00,16
31,2012-02-16 00:00:00+00:00,23
32,2012-02-17 00:00:00+00:00,15
33,2012-02-21 00:00:00+00:00,19
34,2012-02-22 00:00:00+00:00,30
35,2012-02-23 00:00:00+00:00,13
36,2012-02-24 00:00:00+00:00,6
37,2012-02-27 00:00:00+00:00,9
38,2012-02-28 00:00:00+00:00,20
39,2012-02-29 00:00:00+00:00,11
40,2012-03-01 00:00:00+00:00,2
41,2012-03-02 00:00:00+00:00,16
42,2012-03-05 00:00:00+00:00,11
43,2012-03-06 00:00:00+00:00,14
44,2012-03-07 00:00:00+00:00,-8
45,2012-03-08 00:00:00+00:00,4
46,2012-03-09 00:00:00+00:00,12
47,2012-03-12 00:00:00+00:00,7
48,2012-03-13 00:00:00+00:00,24
49,2012-03-14 00:00:00+00:00,11
50,2012-03-15 00:00:00+00:00,10
51,2012-03-16 00:00:00+00:00,8
52,2012-03-19 00:00:00+00:00,17
53,2012-03-20 00:00:00+00:00,26
54,2012-03-21 00:00:00+00:00,12
55,2012-03-22 00:00:00+00:00,9
56,2012-03-23 00:00:00+00:00,13
57,2012-03-26 00:00:00+00:00,7
58,2012-03-27 00:00:00+00:00,1
59,2012-03-28 00:00:00+00:00,14
60,2012-03-29 00:00:00+00:00,19
61,2012-03-30 00:00:00+00:00,14
62,2012-04-02 00:00:00+00:00,4
63,2012-04-03 00:00:00+00:00,-1
64,2012-04-04 00:00:00+00:00,24
65,2012-04-05 00:00:00+00:00,20
66,2012-04-09 00:00:00+00:00,6
67,2012-04-10 00:00:00+00:00,18
68,2012-04-11 00:00:00+00:00,-5
69,2012-04-12 00:00:00+00:00,18
70,2012-04-13 00:00:00+00:00,14
71,2012-04-16 00:00:00+00:00,3
72,2012-04-17 00:00:00+00:00,26
73,2012-04-18 00:00:00+00:00,28
74,2012-04-19 00:00:00+00:00,2
75,2012-04-20 00:00:00+00:00,4
76,2012-04-23 00:00:00+00:00,1
77,2012-04-24 00:00:00+00:00,10
78,2012-04-25 00:00:00+00:00,1
79,2012-04-26 00:00:00+00:00,9
80,2012-04-27 00:00:00+00:00,15
81,2012-04-30 00:00:00+00:00,8
82,2012-05-01 00:00:00+00:00,22
83,2012-05-02 00:00:00+00:00,7
84,2012-05-03 00:00:00+00:00,-9
85,2012-05-04 00:00:00+00:00,17
86,2012-05-07 00:00:00+00:00,13
87,2012-05-08 00:00:00+00:00,-6
88,2012-05-09 00:00:00+00:00,26
